"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5963","Scenario 06: Trailing space in email","chromium","Fri Dec 19 07:53:25 UTC 2025","passed","Fri Dec 19 07:53:31 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","9002","Scenario 01: Valid credentials","chromium","Fri Dec 19 07:52:50 UTC 2025","passed","Fri Dec 19 07:52:59 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","6195","Scenario 02: Invalid email","chromium","Fri Dec 19 07:53:01 UTC 2025","passed","Fri Dec 19 07:53:07 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","5900","Scenario 05: Leading space in email","chromium","Fri Dec 19 07:53:19 UTC 2025","passed","Fri Dec 19 07:53:25 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","5904","Trendyol Home Page Test","chromium","Fri Dec 19 07:52:50 UTC 2025","passed","Fri Dec 19 07:52:56 UTC 2025","","homepage.spec.ts","",""
"","5518","Scenario 04: Empty password field","chromium","Fri Dec 19 07:53:13 UTC 2025","passed","Fri Dec 19 07:53:19 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","5682","Scenario 03: Invalid password","chromium","Fri Dec 19 07:53:07 UTC 2025","passed","Fri Dec 19 07:53:13 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
