"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5569","Scenario 05: Leading space in email","chromium","Mon Dec 22 10:02:36 UTC 2025","passed","Mon Dec 22 10:02:41 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","4088","Trendyol Home Page Test","chromium","Mon Dec 22 10:02:04 UTC 2025","passed","Mon Dec 22 10:02:08 UTC 2025","","homepage.spec.ts","",""
"","5425","Scenario 06: Trailing space in email","chromium","Mon Dec 22 10:02:42 UTC 2025","passed","Mon Dec 22 10:02:47 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","7139","Scenario 01: Valid credentials","chromium","Mon Dec 22 10:02:10 UTC 2025","passed","Mon Dec 22 10:02:17 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","6306","Scenario 06: Trailing space in email","firefox","Mon Dec 22 10:03:29 UTC 2025","passed","Mon Dec 22 10:03:35 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","6580","Scenario 04: Empty password field","firefox","Mon Dec 22 10:03:16 UTC 2025","passed","Mon Dec 22 10:03:22 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","6560","Scenario 02: Invalid email","firefox","Mon Dec 22 10:03:02 UTC 2025","passed","Mon Dec 22 10:03:09 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","6658","Scenario 03: Invalid password","firefox","Mon Dec 22 10:03:09 UTC 2025","passed","Mon Dec 22 10:03:16 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","7524","Scenario 02: Invalid email","chromium","Mon Dec 22 10:02:17 UTC 2025","passed","Mon Dec 22 10:02:24 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","6586","Scenario 05: Leading space in email","firefox","Mon Dec 22 10:03:22 UTC 2025","passed","Mon Dec 22 10:03:29 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","5686","Trendyol Home Page Test","firefox","Mon Dec 22 10:02:48 UTC 2025","passed","Mon Dec 22 10:02:53 UTC 2025","","homepage.spec.ts","",""
"","5878","Scenario 04: Empty password field","chromium","Mon Dec 22 10:02:30 UTC 2025","passed","Mon Dec 22 10:02:36 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","8516","Scenario 01: Valid credentials","firefox","Mon Dec 22 10:02:54 UTC 2025","passed","Mon Dec 22 10:03:02 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","5614","Scenario 03: Invalid password","chromium","Mon Dec 22 10:02:24 UTC 2025","passed","Mon Dec 22 10:02:30 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
