"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","33122","Scenario 06: Trailing space in email","firefox","Wed Dec 24 10:59:22 UTC 2025","broken","Wed Dec 24 10:59:55 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","6060","Scenario 04: Empty password field","chromium","Wed Dec 24 10:54:03 UTC 2025","passed","Wed Dec 24 10:54:09 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","8635","Scenario 05: Leading space in email","firefox","Wed Dec 24 10:58:40 UTC 2025","passed","Wed Dec 24 10:58:49 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","33255","Scenario 02: Invalid email","firefox","Wed Dec 24 10:55:38 UTC 2025","broken","Wed Dec 24 10:56:11 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","6026","Scenario 06: Trailing space in email","chromium","Wed Dec 24 10:54:15 UTC 2025","passed","Wed Dec 24 10:54:21 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","5941","Scenario 05: Leading space in email","chromium","Wed Dec 24 10:54:09 UTC 2025","passed","Wed Dec 24 10:54:15 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","9582","Scenario 03: Invalid password","firefox","Wed Dec 24 10:56:47 UTC 2025","passed","Wed Dec 24 10:56:57 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","15849","Trendyol Home Page Test","firefox","Wed Dec 24 10:54:37 UTC 2025","failed","Wed Dec 24 10:54:53 UTC 2025","","homepage.spec.ts","",""
"","6309","Scenario 03: Invalid password","chromium","Wed Dec 24 10:53:56 UTC 2025","passed","Wed Dec 24 10:54:03 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","33280","Scenario 04: Empty password field","firefox","Wed Dec 24 10:57:30 UTC 2025","broken","Wed Dec 24 10:58:04 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","9459","Scenario 01: Valid credentials","firefox","Wed Dec 24 10:54:55 UTC 2025","passed","Wed Dec 24 10:55:05 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","6036","Scenario 02: Invalid email","chromium","Wed Dec 24 10:53:50 UTC 2025","passed","Wed Dec 24 10:53:56 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","15415","Trendyol Home Page Test","chromium","Wed Dec 24 10:53:26 UTC 2025","failed","Wed Dec 24 10:53:41 UTC 2025","","homepage.spec.ts","",""
"","7593","Scenario 01: Valid credentials","chromium","Wed Dec 24 10:53:42 UTC 2025","passed","Wed Dec 24 10:53:50 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
