"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6126","Scenario 02: Invalid email","chromium","Fri Dec 19 08:17:41 UTC 2025","passed","Fri Dec 19 08:17:47 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","6330","Scenario 06: Trailing space in email","chromium","Fri Dec 19 08:18:06 UTC 2025","passed","Fri Dec 19 08:18:12 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","6352","Scenario 03: Invalid password","chromium","Fri Dec 19 08:17:47 UTC 2025","passed","Fri Dec 19 08:17:54 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","6147","Scenario 05: Leading space in email","chromium","Fri Dec 19 08:18:00 UTC 2025","passed","Fri Dec 19 08:18:06 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","6270","Scenario 04: Empty password field","chromium","Fri Dec 19 08:17:54 UTC 2025","passed","Fri Dec 19 08:18:00 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
