"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5494","Scenario 05: Leading space in email","chromium","Mon Dec 22 09:51:08 UTC 2025","passed","Mon Dec 22 09:51:13 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","5901","Scenario 06: Trailing space in email","chromium","Mon Dec 22 09:51:13 UTC 2025","passed","Mon Dec 22 09:51:19 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","5890","Trendyol Home Page Test","firefox","Mon Dec 22 09:51:20 UTC 2025","passed","Mon Dec 22 09:51:26 UTC 2025","","homepage.spec.ts","",""
"","4441","Trendyol Home Page Test","chromium","Mon Dec 22 09:50:40 UTC 2025","passed","Mon Dec 22 09:50:44 UTC 2025","","homepage.spec.ts","",""
"","6576","Scenario 06: Trailing space in email","firefox","Mon Dec 22 09:52:01 UTC 2025","passed","Mon Dec 22 09:52:08 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","6741","Scenario 01: Valid credentials","chromium","Mon Dec 22 09:50:44 UTC 2025","passed","Mon Dec 22 09:50:51 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","6422","Scenario 05: Leading space in email","firefox","Mon Dec 22 09:51:55 UTC 2025","passed","Mon Dec 22 09:52:01 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","5501","Scenario 02: Invalid email","chromium","Mon Dec 22 09:50:51 UTC 2025","passed","Mon Dec 22 09:50:57 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","8363","Scenario 01: Valid credentials","firefox","Mon Dec 22 09:51:27 UTC 2025","passed","Mon Dec 22 09:51:35 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","6563","Scenario 02: Invalid email","firefox","Mon Dec 22 09:51:35 UTC 2025","passed","Mon Dec 22 09:51:42 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","6675","Scenario 04: Empty password field","firefox","Mon Dec 22 09:51:48 UTC 2025","passed","Mon Dec 22 09:51:55 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","5775","Scenario 04: Empty password field","chromium","Mon Dec 22 09:51:02 UTC 2025","passed","Mon Dec 22 09:51:08 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","5616","Scenario 03: Invalid password","chromium","Mon Dec 22 09:50:57 UTC 2025","passed","Mon Dec 22 09:51:02 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
"","6465","Scenario 03: Invalid password","firefox","Mon Dec 22 09:51:42 UTC 2025","passed","Mon Dec 22 09:51:48 UTC 2025","Trendyol Login Tests @login","login.spec.ts","",""
